wflow_id,group,rmse_train,mae_train,r_squared_train,rmse_cv,mae_cv,r_squared_cv,rmse_overfit_ratio,mae_overfit_ratio,r_squared_generalization_drop,fit_quality
rec_date_rand_forest_2,Denmark,8.589924222978091,6.154622284391286,0.7724660232167144,19.29864401226451,12.779441330732013,0.07529957839216994,2.2466605654844476,2.0763973384917387,0.6971664448245445,🔴 Severe Overfit
rec_ts_sig_rand_forest_2,Denmark,8.994494506928778,6.360644588890697,0.7505283991877131,19.48991502688734,12.92374927875494,0.05865786915017285,2.166871635962818,2.0318301232122224,0.6918705300375403,🔴 Severe Overfit
rec_rolling_rand_forest_2,Denmark,8.902015311127132,6.1860261595879,0.7556320385643205,19.5995917361209,12.875149901378698,0.049166097089600624,2.201702766296331,2.0813280722104825,0.7064659414747199,🔴 Severe Overfit
rec_boxcox_rand_forest_2,Denmark,8.902015311127132,6.1860261595879,0.7556320385643205,19.5995917361209,12.875149901378698,0.049166097089600624,2.201702766296331,2.0813280722104825,0.7064659414747199,🔴 Severe Overfit
rec_scale_rand_forest_2,Denmark,8.90052521796111,6.188737008463562,0.7557138403903043,19.603212380361942,12.867058970374558,0.048879720689857076,2.2024781572218894,2.0791090254405526,0.7068341197004473,🔴 Severe Overfit
rec_center_scale_rand_forest_2,Denmark,8.900155868099457,6.188548788677407,0.7557341145168184,19.607439970089032,12.877094088128182,0.0484365739174612,2.2030445601933053,2.0807938222428115,0.7072975405993571,🔴 Severe Overfit
rec_yj_rand_forest_2,Denmark,8.914701990584984,6.182495665033226,0.7549350217605755,19.609015009544787,12.845678279225492,0.04833600072281302,2.1996265304498466,2.0777496621433467,0.7065990210377624,🔴 Severe Overfit
rec_percentile_rand_forest_2,Denmark,9.209982854561432,6.4098798151178435,0.738431624317877,19.713804606201112,12.93628376125621,0.03840237822350484,2.140482226461198,2.018178832424548,0.7000292460943722,🔴 Severe Overfit
rec_date_boost_tree_3,Denmark,1.7022076755276434,1.2586075073242184,0.9910650385923891,19.808260504947945,13.844290000053075,0.01900555287682032,11.636806007708701,10.999688083448538,0.9720594857155689,🔴 Severe Overfit
rec_ts_sig_boost_tree_3,Denmark,1.7022076755276434,1.2586075073242184,0.9910650385923891,19.808260504947945,13.844290000053075,0.01900555287682032,11.636806007708701,10.999688083448538,0.9720594857155689,🔴 Severe Overfit
rec_splitwise_linear_reg_1,Denmark,14.01320868289543,10.264209004284073,0.3944600912405566,20.11493864759953,14.47873221923442,-0.04809572824140618,1.4354270390729207,1.410603799395676,0.44255581948196276,🟡 Moderate Overfit
rec_mi_rand_forest_2,Denmark,9.277787933979544,6.381881330631724,0.7345660469568622,20.12834825408037,13.835750080595549,-0.010031997187601838,2.169520191376768,2.16797357452994,0.7445980441444641,🔴 Severe Overfit
rec_fourier_rand_forest_2,Denmark,8.860698218653566,6.227785895423055,0.7578951537351577,20.219226489359247,12.9388933868781,-0.015461065917587169,2.2818999124463666,2.0776072916037776,0.7733562196527448,🔴 Severe Overfit
rec_rf_imp_linear_reg_1,Denmark,17.165050830964574,12.137985344425298,0.09143128254502375,20.52310514019799,12.97822685389118,-0.04920451068750614,1.195633228372136,1.069224132804855,0.1406357932325299,⚪ Normal
rec_anova_rand_forest_2,Denmark,8.620133657208404,5.982415366624076,0.7708628054584035,20.78061633765655,14.44308275999357,-0.07666228313523366,2.410706975555907,2.41425609471579,0.8475250885936372,🔴 Severe Overfit
rec_boxcox_boost_tree_3,Denmark,1.8945625356173152,1.4368999721950955,0.9889315837810209,21.090513333601397,13.653680418595023,-0.10538043203197583,11.132128360560747,9.502178775699212,1.0943120158129966,🔴 Severe Overfit
rec_center_scale_boost_tree_3,Denmark,1.8945625356173152,1.4368999721950955,0.9889315837810209,21.090513333601397,13.653680418595023,-0.10538043203197583,11.132128360560747,9.502178775699212,1.0943120158129966,🔴 Severe Overfit
rec_rolling_boost_tree_3,Denmark,1.8945625356173152,1.4368999721950955,0.9889315837810209,21.090513333601397,13.653680418595023,-0.10538043203197583,11.132128360560747,9.502178775699212,1.0943120158129966,🔴 Severe Overfit
rec_yj_boost_tree_3,Denmark,1.8945625356173152,1.4368999721950955,0.9889315837810209,21.090513333601397,13.653680418595023,-0.10538043203197583,11.132128360560747,9.502178775699212,1.0943120158129966,🔴 Severe Overfit
rec_scale_boost_tree_3,Denmark,1.8945625356173152,1.4368999721950955,0.9889315837810209,21.090513333601397,13.653680418595023,-0.10538043203197583,11.132128360560747,9.502178775699212,1.0943120158129966,🔴 Severe Overfit
rec_percentile_boost_tree_3,Denmark,1.6999014659043412,1.283847330813937,0.9910892329788796,21.199213674323406,13.91065008677607,-0.11806287829931927,12.470848516531811,10.835127941541893,1.109152111278199,🔴 Severe Overfit
rec_splitwise_rand_forest_2,Denmark,9.91658624349064,7.001768826798494,0.6967561662657344,21.440014180111184,13.38512823673928,-0.1884166222081003,2.1620357705439868,1.9116781156083282,0.8851727884738347,🔴 Severe Overfit
rec_rf_imp_rand_forest_2,Denmark,9.51413676486692,6.561608739153183,0.7208700921607253,21.495173211464905,13.952104356949139,-0.14695758786140478,2.25928780957203,2.126323728157822,0.8678276800221301,🔴 Severe Overfit
rec_mi_linear_reg_1,Denmark,17.356436153176396,12.421245331561746,0.07105777924330292,22.174820621916375,14.253846025681668,-0.23379086190699594,1.2776137005440582,1.147537597495428,0.30484864115029886,🟡 Moderate Overfit
